Tiempo,Flujo
2454953.9392902246,401558.56
2454953.9399713464,401361.12
2454953.9406525684,401506.72
2454953.94133359,401249.25
2454953.942014712,401261.78
2454953.942695934,401224.9
2454953.9433770557,401283.72
2454953.9440581775,401322.03
2454953.9447392994,401384.12
2454953.9454205213,401309.1
2454953.946101643,401164.47
2454953.9467826653,401245.66
2454953.947463887,401334.38
2454953.948145009,401485.3
2454953.948826131,401416.12
2454953.949507353,401337.22
2454953.9501884747,401218.2
2454953.9508695966,401462.75
2454953.9515508185,401525.8
2454953.95223184,401455.88
2454953.952912962,401390.16
2454953.953594084,401222.4
2454953.954275306,401259.28
2454953.9549564277,401294.72
2454953.9556376496,401580.8
2454953.9563187715,401242.6
2454953.9569998933,401303.06
2454953.9576811153,401368.56
2454953.958362137,401427.84
2454953.959043259,401299.0
2454953.9597244808,401237.62
2454953.9604056026,401329.06
2454953.961086725,401231.75
2454953.9617679464,401419.62
2454953.962449068,401470.2
2454953.9631301905,401393.5
2454953.963811212,401271.9
2454953.964492434,401333.47
2454953.965173556,401282.72
2454953.965854778,401310.25
2454953.9665359,401274.2
2454953.9672170216,401264.8
2454953.9678982436,401183.53
2454953.9685793654,401275.25
2454953.969260387,401370.3
2454953.969941609,401224.47
2454953.970622731,401107.12
2454953.9713038527,401279.5
2454953.971984975,401461.78
2454953.9726661965,401326.0
2454953.9733473184,401379.47
2454953.97402844,401276.34
2454953.974709562,401361.38
2454953.9753906843,401274.34
2454953.976071806,401394.84
2454953.976753028,401411.88
2454953.97743415,401284.62
2454953.978115272,401409.56
2454953.9787963936,401348.84
2454953.9794776156,401148.56
2454953.9801586373,401404.3
2454953.980839759,401368.7
2454953.981520981,401216.12
2454953.982202103,401374.0
2454953.9828832247,401293.1
2454953.9835644467,401210.28
2454953.9842455685,401477.1
2454953.9849267905,401392.72
2454953.9856078126,401406.88
2454953.9862889345,401395.12
2454953.9869700563,401371.47
2454953.987651278,401359.25
2454953.9883323996,401299.03
2454953.9890136216,401182.1
2454953.9896947434,401273.28
2454953.9903758657,401477.03
2454953.9910568874,401496.25
